2|1|1
4|1000000000|1000000000
53|1000000000,1000000000|10000000001000000000
14|0,1000000000|10000000000
15|10,2|210
47|3,30,34,5,9|9534330
187|3,30,34,563,125,5,9,99,874,100,247|999874563534330247125100
102|0,0,0,0,0,0,0,0,0,0,0,0,0,0,1|100000000000000
733|0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50|98765504948474645444434241403938373635343333231302928272625242322221201918171615141312111100
692|50,49,48,47,46,45,44,43,42,41,40,39,38,37,36,35,34,33,32,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0|98765504948474645444434241403938373635343333231302928272625242322221201918171615141312111100
4|0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0|0
96|1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1|11111111111111111111111
95|1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0|11111111111111111111110
27|5634825,83695202,32696564,26398721,23214056,23012502|83695202563482532696564263987212321405623012502
6|569,965|965569
21|569,965,678,876|965876678569
28|3,30,34,5,9|9534330
14|9,9,9,12358232|99912358232
14|1,1,1,92358232|92358232111
